IncidentID,County,RdwyNumber,RdwyType,Street,RoadwayName,StreetSfx,StreetDir,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,KABCO,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,Intersection Crash,Bicyclist,Pedestrian,Motor Vehicles
26138698,CAMPBELL,I 0471,Interstate,,,,,39.08250135,-84.4699742,0.026,1/4/2020 0:00,1430,1,1,0,0,O,"SLEET, HAIL, FREEZING RAIN",WET,0,OTHER RAMP RELATED COLLISIONS NOT LISTED ABOVE,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,0,0,0,1
26138699,CAMPBELL,,OTHR,,WEINGARTNER,ALY,,39.0916655,-84.48901371,0.053,1/4/2020 0:00,1619,2,2,0,0,O,CLOUDY,WET,0,OTHER COLLISIONS ON SHOULDER,BACKING,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26146718,CAMPBELL,US0027,USRoute,7634,ALEXANDRIA,PIKE,,38.97713789,-84.39297384,11.406,1/4/2020 0:00,2052,2,2,0,2,C,CLOUDY,DRY,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,0,0,0,1
26147307,CAMPBELL,KY2345,StateRoute,,MARTHA L COLLINS,BLVD,,39.0278193,-84.45208763,0.109,1/4/2020 0:00,1634,2,2,0,0,O,CLOUDY,WET,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26149359,CAMPBELL,,OTHR,,WOESTE,RD,,38.90097636,-84.38010267,1.715,1/4/2020 0:00,1744,1,1,0,0,O,CLOUDY,WET,0,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,0,0,0,1
26146722,CAMPBELL,KY0009,StateRoute,,AA,HWY,,38.98989504,-84.39716513,12.265,1/4/2020 0:00,2156,1,1,0,0,O,CLEAR,DRY,0,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,0,0,0,1
27634126,CAMPBELL,KY1892,StateRoute,,CAROTHERS,RD,,39.08638765,-84.47747628,2.165,1/4/2020 0:00,1808,2,2,0,0,O,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,1,0,0,1
26139006,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,39.03517526,-84.45395819,16.627,1/4/2020 0:00,846,2,2,0,0,O,RAINING,WET,0,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26140124,CAMPBELL,US0027,USRoute,,MONMOUTH,ST,,39.0838442,-84.48382869,21.209,1/4/2020 0:00,1822,2,1,0,1,B,CLOUDY,DRY,0,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY LIGHTED/ON,1,0,1,0
26178316,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,39.03695649,-84.45385801,16.74,1/5/2020 0:00,1841,2,2,0,0,O,CLEAR,DRY,0,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,1,0,0,1
